Date,Surface,Rd,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time
22‑Feb‑2010,Hard,R16,Viktor Troicki,3-6 6-4 6-2,1.13,2.5%,6.3%,54.4%,69.8%,61.1%,Novak Djokovic,51.2%,38.7%,10.8%,39.1%,38.3%,3/10,2:05
22‑Feb‑2010,Hard,R32,Guillermo Garcia Lopez,6-4 6-4,1.2,3.0%,4.5%,67.2%,62.2%,54.5%,Novak Djokovic,54.4%,48.3%,3.4%,37.9%,58.6%,5/10,1:38
8‑Feb‑2010,Hard,SF,Mikhail Youzhny,7-6(5) 7-6(6),1.04,5.2%,2.6%,57.1%,79.5%,51.5%,Novak Djokovic,49.4%,33.7%,4.5%,25.9%,45.7%,2/5,2:17
8‑Feb‑2010,Hard,R16,Marco Chiudinelli,6-4 6-2,2.13,4.3%,6.5%,60.9%,85.7%,66.7%,Novak Djokovic,57.8%,46.3%,4.9%,39.1%,55.6%,3/14,1:31
8‑Feb‑2010,Hard,R32,Sergiy Stakhovsky,6-2 4-1 RET,2.58,6.5%,3.2%,54.8%,88.2%,71.4%,Novak Djokovic,61.4%,50.0%,5.8%,42.9%,64.7%,4/11,0:54
18‑Jan‑2010,Hard,QF,Jo Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,1.02,1.4%,6.2%,69.0%,67.0%,48.9%,Novak Djokovic,49.5%,39.3%,11.3%,32.1%,52.5%,6/16,3:52
18‑Jan‑2010,Hard,R16,Lukasz Kubot,6-1 6-2 7-5,2.0,13.5%,1.4%,68.9%,80.4%,69.6%,Novak Djokovic,61.3%,46.1%,5.3%,32.6%,66.7%,6/9,1:55
18‑Jan‑2010,Hard,R32,Denis Istomin,6-1 6-1 6-2,1.73,3.8%,9.0%,60.3%,72.3%,45.2%,Novak Djokovic,63.8%,66.7%,5.0%,60.6%,74.1%,9/14,1:37
18‑Jan‑2010,Hard,R64,Marco Chiudinelli,3-6 6-1 6-1 6-3,1.2,9.6%,7.2%,63.2%,74.7%,32.6%,Novak Djokovic,54.6%,49.0%,2.9%,42.1%,57.8%,8/18,2:58
18‑Jan‑2010,Hard,R128,Daniel Gimeno Traver,7-5 6-3 6-2,1.47,4.4%,5.6%,67.8%,77.0%,55.2%,Novak Djokovic,56.9%,44.0%,5.5%,27.8%,67.6%,5/14,2:01
22‑Nov‑2009,Hard,RR,Robin Soderling,7-6(5) 6-1,0.63,2.8%,1.4%,57.7%,61.0%,53.3%,Novak Djokovic,43.5%,26.7%,16.7%,20.0%,40.0%,0/2,1:38
22‑Nov‑2009,Hard,RR,Nikolay Davydenko,3-6 6-4 7-5,1.05,2.0%,4.0%,63.0%,66.7%,54.1%,Novak Djokovic,51.0%,40.0%,8.0%,28.3%,53.2%,3/7,2:47
22‑Nov‑2009,Hard,RR,Rafael Nadal,7-6(5) 6-3,1.23,2.7%,4.1%,50.7%,78.4%,52.8%,Novak Djokovic,54.2%,42.3%,5.6%,40.0%,50.0%,3/5,1:58
8‑Nov‑2009,Hard,F,Gael Monfils,6-2 5-7 7-6(3),1.24,2.0%,5.1%,67.3%,71.2%,59.4%,Novak Djokovic,53.4%,40.6%,11.3%,26.2%,63.4%,5/10,2:44
8‑Nov‑2009,Hard,SF,Rafael Nadal,6-2 6-3,1.82,8.0%,8.0%,58.0%,82.8%,61.9%,Novak Djokovic,62.5%,47.4%,10.5%,44.0%,53.8%,3/3,1:17
8‑Nov‑2009,Hard,QF,Robin Soderling,6-4 1-6 6-3,0.92,3.4%,4.6%,65.5%,68.4%,50.0%,Novak Djokovic,50.0%,34.8%,10.1%,20.0%,50.0%,3/6,1:57
8‑Nov‑2009,Hard,R16,Arnaud Clement,6-2 6-2,1.8,17.8%,6.7%,66.7%,80.0%,46.7%,Novak Djokovic,61.8%,56.1%,3.5%,40.0%,74.1%,5/9,1:16
8‑Nov‑2009,Hard,R32,Juan Monaco,6-3 7-5,1.22,6.3%,7.9%,63.5%,62.5%,56.5%,Novak Djokovic,54.5%,48.3%,3.3%,43.6%,57.1%,5/12,1:32
2‑Nov‑2009,Hard,F,Roger Federer,6-4 4-6 6-2,1.11,6.1%,7.1%,64.3%,71.4%,54.3%,Novak Djokovic,52.7%,38.4%,11.6%,31.1%,56.0%,4/8,2:11
2‑Nov‑2009,Hard,SF,Radek Stepanek,6-7(4) 7-5 6-2,1.11,6.7%,6.7%,55.2%,75.9%,59.6%,Novak Djokovic,51.7%,34.9%,7.5%,22.6%,52.3%,3/8,2:31
2‑Nov‑2009,Hard,QF,Stan Wawrinka,3-6 7-6(5) 6-2,1.26,6.0%,1.2%,60.7%,86.3%,51.5%,Novak Djokovic,52.2%,34.4%,13.5%,27.9%,45.7%,3/9,2:19
2‑Nov‑2009,Hard,R16,Jan Hernych,6-0 6-0,2.2,8.5%,2.1%,63.8%,70.0%,64.7%,Novak Djokovic,69.0%,70.3%,5.4%,61.9%,81.3%,6/9,0:53
2‑Nov‑2009,Hard,R32,Andreas Beck,6-3 7-5,1.45,15.9%,3.2%,65.1%,80.5%,50.0%,Novak Djokovic,56.7%,43.8%,9.4%,23.7%,73.1%,3/8,1:27
11‑Oct‑2009,Hard,SF,Nikolay Davydenko,4-6 6-4 7-6(1),0.88,4.2%,1.7%,64.2%,64.9%,60.5%,Novak Djokovic,49.3%,32.3%,5.1%,25.8%,45.5%,1/7,3:03
11‑Oct‑2009,Hard,QF,Gilles Simon,6-3 2-6 6-2,1.07,1.2%,6.0%,61.9%,61.5%,43.8%,Novak Djokovic,51.4%,48.5%,4.1%,39.2%,58.7%,6/14,2:24
11‑Oct‑2009,Hard,R16,Rainer Schuettler,6-4 6-2,1.63,10.4%,6.3%,60.4%,75.9%,63.2%,Novak Djokovic,57.7%,47.6%,0.0%,37.5%,58.1%,4/9,1:24
11‑Oct‑2009,Hard,R32,Fabio Fognini,6-3 6-1,1.69,6.0%,2.0%,58.0%,82.8%,47.6%,Novak Djokovic,61.0%,54.0%,4.0%,46.2%,81.8%,5/7,1:10
5‑Oct‑2009,Hard,F,Marin Cilic,6-2 7-6(4),1.2,2.7%,1.4%,67.6%,66.0%,45.8%,Novak Djokovic,54.3%,48.5%,1.5%,39.0%,64.0%,5/9,1:54
5‑Oct‑2009,Hard,SF,Robin Soderling,6-3 6-3,1.68,12.0%,4.0%,60.0%,80.0%,60.0%,Novak Djokovic,57.8%,47.0%,6.1%,36.1%,60.0%,4/12,1:21
5‑Oct‑2009,Hard,QF,Fernando Verdasco,6-3 1-6 6-1,1.08,3.8%,6.3%,63.7%,64.7%,48.3%,Novak Djokovic,51.5%,44.7%,7.1%,37.5%,58.6%,4/11,1:45
5‑Oct‑2009,Hard,R16,Viktor Troicki,6-3 6-0,1.94,2.1%,2.1%,48.9%,69.6%,75.0%,Novak Djokovic,63.6%,53.7%,7.3%,36.4%,73.7%,4/7,1:01
5‑Oct‑2009,Hard,R32,Victor Hanescu,6-3 7-5,1.39,16.1%,4.8%,67.7%,69.0%,50.0%,Novak Djokovic,57.5%,51.7%,0.0%,39.4%,68.0%,5/9,1:29
31‑Aug‑2009,Hard,SF,Roger Federer,7-6(3) 7-5 7-5,0.8,5.2%,3.5%,67.8%,67.9%,54.1%,Novak Djokovic,46.9%,29.4%,7.3%,22.2%,39.1%,1/3,2:34
31‑Aug‑2009,Hard,QF,Fernando Verdasco,7-6(2) 1-6 7-5 6-2,1.13,6.5%,2.9%,67.4%,71.0%,51.1%,Novak Djokovic,53.1%,40.2%,4.1%,30.9%,51.9%,4/12,3:05
31‑Aug‑2009,Hard,R16,Radek Stepanek,6-1 6-3 6-3,1.61,6.8%,4.1%,62.2%,76.1%,57.1%,Novak Djokovic,59.1%,50.0%,5.0%,46.9%,54.8%,6/13,1:46
31‑Aug‑2009,Hard,R32,Jesse Witten,6-7(2) 6-3 7-6(2) 6-4,1.12,5.9%,5.9%,61.0%,69.9%,45.3%,Novak Djokovic,52.2%,44.4%,3.5%,40.9%,47.4%,9/18,3:28
31‑Aug‑2009,Hard,R64,Carsten Ball,6-3 6-4 6-4,1.8,4.0%,0.0%,61.3%,76.1%,79.3%,Novak Djokovic,57.1%,40.9%,8.6%,30.2%,55.0%,4/18,1:49
31‑Aug‑2009,Hard,R128,Ivan Ljubicic,6-3 6-1 6-3,2.3,13.6%,0.0%,78.8%,82.7%,64.3%,Novak Djokovic,62.5%,48.7%,12.8%,41.0%,56.4%,5/10,1:37
16‑Aug‑2009,Hard,F,Roger Federer,6-1 7-5,0.59,3.7%,1.2%,67.9%,60.0%,34.6%,Novak Djokovic,41.8%,28.3%,11.7%,15.2%,44.4%,1/4,2:07
16‑Aug‑2009,Hard,SF,Rafael Nadal,6-1 6-4,1.44,9.1%,1.8%,65.5%,75.0%,57.9%,Novak Djokovic,56.8%,44.6%,1.8%,40.0%,52.4%,3/6,1:32
16‑Aug‑2009,Hard,QF,Gilles Simon,6-4 7-5,1.3,12.5%,4.7%,62.5%,82.5%,50.0%,Novak Djokovic,54.3%,38.5%,9.2%,29.7%,50.0%,3/9,1:28
16‑Aug‑2009,Hard,R16,Jeremy Chardy,7-5 6-3,1.34,11.3%,6.5%,58.1%,75.0%,53.8%,Novak Djokovic,55.5%,45.5%,7.6%,32.3%,57.1%,4/10,1:33
16‑Aug‑2009,Hard,R32,Ivan Ljubicic,7-6(5) 6-4,1.95,14.3%,1.6%,57.1%,97.2%,63.0%,Novak Djokovic,54.7%,34.1%,17.6%,27.1%,43.2%,1/4,1:40
10‑Aug‑2009,Hard,QF,Andy Roddick,6-4 7-6(4),0.75,12.8%,7.7%,55.1%,76.7%,45.7%,Novak Djokovic,46.6%,27.9%,5.9%,20.0%,43.5%,1/2,1:43
10‑Aug‑2009,Hard,R16,Mikhail Youzhny,6-3 6-4,1.21,4.8%,6.5%,67.7%,73.8%,60.0%,Novak Djokovic,55.6%,37.0%,2.2%,30.8%,45.0%,3/6,1:23
10‑Aug‑2009,Hard,R32,Peter Polansky,6-4 7-6(6),1.25,10.5%,9.2%,61.8%,83.0%,41.4%,Novak Djokovic,53.5%,41.0%,8.4%,28.6%,53.7%,2/10,1:59
22‑Jun‑2009,Grass,QF,Tommy Haas,7-5 7-6(6) 4-6 6-3,0.89,10.5%,3.2%,58.9%,79.5%,54.9%,Novak Djokovic,48.4%,27.4%,14.5%,19.5%,40.4%,2/2,2:45
22‑Jun‑2009,Grass,R16,Dudi Sela,6-2 6-4 6-1,1.54,15.3%,5.6%,63.9%,80.4%,46.2%,Novak Djokovic,58.7%,49.3%,1.4%,43.5%,60.0%,7/14,1:30
22‑Jun‑2009,Grass,R32,Mardy Fish,6-4 6-4 6-4,1.6,9.9%,1.2%,63.0%,74.5%,76.7%,Novak Djokovic,55.9%,39.6%,6.3%,25.0%,60.0%,4/12,1:59
22‑Jun‑2009,Grass,R64,Simon Greul,7-5 6-1 6-4,1.29,13.4%,6.2%,64.9%,63.5%,52.9%,Novak Djokovic,56.0%,51.7%,0.0%,50.9%,52.9%,8/15,2:00
22‑Jun‑2009,Grass,R128,Julien Benneteau,6-7(8) 7-6(1) 6-2 6-4,1.33,10.9%,3.1%,68.0%,82.8%,48.8%,Novak Djokovic,53.2%,37.5%,2.0%,31.7%,50.0%,4/12,3:29
8‑Jun‑2009,Grass,F,Tommy Haas,6-3 6-7(4) 6-1,0.76,4.7%,3.5%,53.5%,63.0%,60.0%,Novak Djokovic,43.9%,29.1%,9.7%,17.5%,43.5%,0/4,2:12
8‑Jun‑2009,Grass,SF,Olivier Rochus,7-6(7) 6-4,1.15,13.7%,2.7%,65.8%,81.3%,44.0%,Novak Djokovic,52.4%,36.1%,2.8%,27.5%,46.9%,2/6,1:55
8‑Jun‑2009,Grass,QF,Jurgen Melzer,6-1 6-4,1.81,12.2%,2.0%,75.5%,81.1%,41.7%,Novak Djokovic,60.4%,51.6%,8.1%,37.9%,63.6%,4/7,1:07
8‑Jun‑2009,Grass,R16,Florent Serra,5-7 7-5 6-1,1.33,16.1%,1.1%,52.9%,78.3%,58.5%,Novak Djokovic,53.6%,41.1%,6.5%,35.8%,50.0%,5/11,2:05
8‑Jun‑2009,Grass,R32,Simone Bolelli,7-5 6-2,1.48,13.1%,3.3%,72.1%,75.0%,58.8%,Novak Djokovic,55.4%,43.6%,2.6%,36.4%,60.9%,3/10,1:24
25‑May‑2009,Clay,R32,Philipp Kohlschreiber,6-4 6-4 6-4,0.82,3.3%,3.3%,64.4%,65.5%,40.6%,Novak Djokovic,45.7%,35.7%,1.0%,35.4%,36.4%,2/6,2:21
25‑May‑2009,Clay,R64,Sergiy Stakhovsky,6-3 6-4 6-1,1.47,6.5%,2.6%,68.8%,67.9%,62.5%,Novak Djokovic,56.5%,49.5%,5.6%,38.7%,64.4%,7/18,2:04
25‑May‑2009,Clay,R128,Nicolas Lapentti,6-3 3-1 RET,1.96,2.4%,0.0%,66.7%,82.1%,64.3%,Novak Djokovic,59.0%,46.6%,0.0%,39.5%,60.0%,2/7,1:18
10‑May‑2009,Clay,SF,Rafael Nadal,3-6 7-6(5) 7-6(9),1.18,6.3%,2.7%,61.6%,81.2%,55.8%,Novak Djokovic,51.0%,33.8%,3.0%,28.7%,50.0%,2/8,4:03
10‑May‑2009,Clay,QF,Ivan Ljubicic,6-4 6-4,1.3,8.2%,1.6%,63.9%,76.9%,63.6%,Novak Djokovic,52.6%,36.1%,4.2%,32.4%,39.5%,2/7,1:45
10‑May‑2009,Clay,R16,Andreas Seppi,6-4 6-4,1.44,5.3%,3.5%,64.9%,78.4%,55.0%,Novak Djokovic,54.5%,42.9%,3.9%,41.1%,47.6%,3/11,1:38
10‑May‑2009,Clay,R32,Oscar Hernandez,6-3 6-3,1.54,5.4%,5.4%,67.9%,81.6%,44.4%,Novak Djokovic,56.4%,46.8%,3.9%,46.3%,47.8%,3/12,1:39
4‑May‑2009,Clay,F,Lukasz Kubot,6-3 7-6(0),1.38,8.7%,2.9%,66.7%,69.6%,60.9%,Novak Djokovic,56.9%,45.9%,3.3%,35.0%,66.7%,4/7,1:50
4‑May‑2009,Clay,SF,Andreas Seppi,4-6 6-1 6-2,1.24,1.0%,3.1%,60.8%,69.5%,50.0%,Novak Djokovic,54.8%,47.2%,3.4%,35.5%,74.1%,5/11,2:17
4‑May‑2009,Clay,QF,Viktor Troicki,6-3 6-2,1.53,4.1%,0.0%,69.4%,76.5%,46.7%,Novak Djokovic,59.1%,50.0%,2.3%,40.0%,63.2%,4/4,1:10
4‑May‑2009,Clay,R16,Janko Tipsarevic,6-2 4-6 6-0,1.58,9.5%,4.8%,63.5%,77.5%,52.2%,Novak Djokovic,57.2%,50.0%,5.2%,38.0%,63.0%,6/19,2:01
27‑Apr‑2009,Clay,F,Rafael Nadal,7-6(2) 6-2,0.79,0.0%,3.0%,59.1%,59.0%,48.1%,Novak Djokovic,44.9%,35.7%,0.0%,32.0%,45.0%,2/4,2:03
27‑Apr‑2009,Clay,SF,Roger Federer,4-6 6-3 6-3,1.08,3.0%,6.0%,50.0%,64.0%,56.0%,Novak Djokovic,52.5%,43.2%,7.4%,27.5%,58.5%,5/8,2:11
27‑Apr‑2009,Clay,QF,Juan Martin Del Potro,6-3 6-4,1.27,6.3%,4.7%,64.1%,65.9%,65.2%,Novak Djokovic,55.5%,43.6%,3.6%,31.0%,57.7%,3/6,1:37
27‑Apr‑2009,Clay,R16,Tommy Robredo,6-1 6-1,1.77,5.9%,7.8%,62.7%,68.8%,52.6%,Novak Djokovic,64.3%,66.0%,0.0%,62.1%,72.2%,6/9,1:04
27‑Apr‑2009,Clay,R32,Albert Montanes,7-6(5) 6-0,1.32,6.3%,7.8%,50.0%,75.0%,43.8%,Novak Djokovic,56.2%,53.4%,0.0%,41.2%,64.1%,5/10,1:38
12‑Apr‑2009,Clay,F,Rafael Nadal,6-3 2-6 6-1,0.83,4.6%,3.4%,62.1%,55.6%,33.3%,Novak Djokovic,45.4%,43.7%,2.3%,38.6%,53.3%,5/11,2:43
12‑Apr‑2009,Clay,SF,Stan Wawrinka,4-6 6-1 6-3,1.3,1.2%,4.9%,56.8%,76.1%,48.6%,Novak Djokovic,54.5%,46.4%,1.0%,40.0%,56.8%,5/14,2:27
12‑Apr‑2009,Clay,QF,Fernando Verdasco,6-2 4-6 6-3,1.29,4.6%,5.7%,62.1%,77.8%,51.5%,Novak Djokovic,55.0%,41.5%,2.4%,39.3%,46.2%,4/10,2:18
12‑Apr‑2009,Clay,R16,Albert Montanes,6-1 6-7(4) 6-0,1.39,6.5%,1.3%,68.8%,75.5%,33.3%,Novak Djokovic,57.1%,52.3%,4.7%,40.4%,70.6%,7/17,1:45
12‑Apr‑2009,Clay,R32,Oscar Hernandez,6-1 6-2,1.79,2.3%,2.3%,60.5%,80.8%,52.9%,Novak Djokovic,60.8%,54.2%,0.0%,45.9%,68.2%,5/14,1:19
25‑Mar‑2009,Hard,F,Andy Murray,6-2 7-5,0.68,2.7%,6.8%,61.6%,53.3%,42.9%,Novak Djokovic,42.5%,34.4%,13.1%,25.0%,48.0%,2/5,1:43
25‑Mar‑2009,Hard,SF,Roger Federer,3-6 6-2 6-3,1.37,5.5%,5.5%,69.9%,68.6%,54.5%,Novak Djokovic,56.2%,48.8%,5.0%,41.7%,59.4%,6/10,1:46
25‑Mar‑2009,Hard,QF,Jo Wilfried Tsonga,6-3 6-4,1.29,0.0%,1.5%,47.8%,71.9%,65.7%,Novak Djokovic,54.5%,40.3%,6.0%,20.6%,60.6%,2/7,1:56
25‑Mar‑2009,Hard,R16,Tomas Berdych,6-3 6-2,1.74,2.3%,4.7%,53.5%,82.6%,55.0%,Novak Djokovic,60.0%,52.6%,5.3%,45.5%,62.5%,5/11,1:13
25‑Mar‑2009,Hard,R32,Paul Henri Mathieu,6-4 6-1,2.46,9.5%,4.8%,66.7%,82.1%,78.6%,Novak Djokovic,60.4%,46.9%,1.6%,41.4%,51.4%,4/7,1:16
25‑Mar‑2009,Hard,R64,Frank Dancevic,6-3 6-2,1.56,6.8%,3.4%,66.1%,76.9%,65.0%,Novak Djokovic,58.6%,42.3%,1.9%,31.3%,60.0%,3/5,1:11
12‑Mar‑2009,Hard,QF,Andy Roddick,6-3 6-2,0.48,3.6%,7.1%,57.1%,56.3%,45.8%,Novak Djokovic,39.4%,23.3%,11.6%,22.9%,25.0%,0/2,1:09
12‑Mar‑2009,Hard,R16,Stan Wawrinka,7-6(7) 7-6(6),0.98,5.2%,2.1%,64.6%,67.7%,61.8%,Novak Djokovic,50.3%,33.7%,9.0%,21.6%,50.0%,2/8,2:28
12‑Mar‑2009,Hard,R32,Tommy Haas,6-2 7-6(1),1.54,13.1%,1.6%,72.1%,77.3%,52.9%,Novak Djokovic,56.4%,45.6%,2.5%,37.5%,58.1%,3/11,1:47
12‑Mar‑2009,Hard,R64,Martin Vassallo Arguello,7-5 6-4,1.34,3.4%,3.4%,60.3%,71.4%,65.2%,Novak Djokovic,53.8%,41.7%,1.4%,37.8%,48.1%,4/8,1:44
23‑Feb‑2009,Hard,F,David Ferrer,7-5 6-3,1.25,4.8%,0.0%,71.4%,66.7%,50.0%,Novak Djokovic,54.9%,47.5%,6.8%,48.6%,45.8%,5/7,1:37
23‑Feb‑2009,Hard,SF,Gilles Simon,3-6 7-5 7-5,1.04,11.0%,2.8%,61.5%,65.7%,59.5%,Novak Djokovic,50.2%,38.1%,3.4%,25.4%,52.7%,3/12,2:45
23‑Feb‑2009,Hard,QF,Marin Cilic,6-3 6-4,1.4,9.9%,4.2%,63.4%,82.2%,46.2%,Novak Djokovic,56.4%,43.5%,7.2%,30.0%,62.1%,2/7,1:38
23‑Feb‑2009,Hard,R16,Jan Hernych,6-3 3-6 6-4,0.97,5.4%,3.3%,55.4%,74.5%,48.8%,Novak Djokovic,49.2%,35.8%,2.1%,33.3%,42.3%,3/10,2:07
23‑Feb‑2009,Hard,R32,Flavio Cipolla,6-3 6-2,1.36,7.0%,1.4%,62.0%,70.5%,44.4%,Novak Djokovic,57.6%,53.7%,1.9%,51.7%,56.0%,5/11,1:19
16‑Feb‑2009,Hard,SF,Jo Wilfried Tsonga,6-4 7-6(1),0.81,11.9%,0.0%,73.1%,71.4%,61.1%,Novak Djokovic,47.0%,25.4%,13.4%,19.1%,40.0%,0/5,1:26
16‑Feb‑2009,Hard,QF,Mischa Zverev,6-3 6-3,1.67,11.5%,1.9%,61.5%,75.0%,70.0%,Novak Djokovic,58.0%,45.0%,5.0%,40.0%,52.0%,3/4,1:09
16‑Feb‑2009,Hard,R16,Jan Hernych,7-5 6-4,1.2,7.1%,1.4%,67.1%,66.0%,56.5%,Novak Djokovic,53.5%,44.4%,2.8%,34.8%,61.5%,4/7,1:33
16‑Feb‑2009,Hard,R32,Jeremy Chardy,7-6(4) 6-4,1.13,16.2%,4.4%,69.1%,89.4%,42.9%,Novak Djokovic,51.9%,28.4%,19.4%,20.9%,41.7%,1/4,1:27
19‑Jan‑2009,Hard,QF,Andy Roddick,6-7(3) 6-4 6-2 2-1 RET,0.59,7.0%,4.3%,62.6%,63.9%,46.5%,Novak Djokovic,43.6%,25.3%,18.4%,12.9%,56.0%,1/1,2:30
19‑Jan‑2009,Hard,R16,Marcos Baghdatis,6-1 7-6(1) 6-7(5) 6-2,1.36,2.3%,2.3%,62.8%,74.1%,56.3%,Novak Djokovic,55.5%,44.1%,8.8%,35.1%,54.8%,5/17,3:13
19‑Jan‑2009,Hard,R32,Amer Delic,6-2 4-6 6-3 7-6(4),1.2,8.4%,3.1%,64.1%,79.8%,51.1%,Novak Djokovic,53.1%,36.6%,12.2%,23.4%,55.6%,3/8,3:03
19‑Jan‑2009,Hard,R64,Jeremy Chardy,7-5 6-1 6-3,1.7,9.3%,1.3%,72.0%,75.9%,66.7%,Novak Djokovic,59.3%,45.3%,4.0%,42.3%,52.2%,6/6,1:42
19‑Jan‑2009,Hard,R128,Andrea Stoppini,6-2 6-3 7-5,1.45,10.8%,1.4%,68.9%,66.7%,60.9%,Novak Djokovic,56.5%,50.9%,5.5%,44.1%,58.8%,8/19,1:55
12‑Jan‑2009,Hard,SF,Jarkko Nieminen,6-4 7-6(3),0.87,2.9%,1.4%,77.1%,72.2%,43.8%,Novak Djokovic,46.9%,29.9%,2.6%,28.0%,33.3%,0/5,1:40
12‑Jan‑2009,Hard,QF,Mario Ancic,6-3 6-4,0.88,2.4%,3.7%,59.8%,71.4%,48.5%,Novak Djokovic,52.0%,33.3%,4.4%,32.1%,35.3%,3/5,1:20
12‑Jan‑2009,Hard,R16,Paul Henri Mathieu,6-1 6-2,2.83,9.5%,2.4%,73.8%,77.4%,90.9%,Novak Djokovic,67.9%,53.8%,2.6%,34.8%,81.3%,4/7,0:55
4‑Jan‑2009,Hard,R32,Ernests Gulbis,6-4 6-4,0.78,4.6%,6.2%,47.7%,67.7%,41.2%,Novak Djokovic,45.2%,36.1%,6.6%,26.3%,52.2%,2/4,1:30
9‑Nov‑2008,Hard,F,Nikolay Davydenko,6-1 7-5,1.72,7.3%,5.5%,61.8%,73.5%,66.7%,Novak Djokovic,59.5%,50.0%,7.6%,35.5%,62.9%,4/11,1:43
9‑Nov‑2008,Hard,SF,Gilles Simon,4-6 6-3 7-5,1.16,7.5%,0.9%,63.2%,71.6%,56.4%,Novak Djokovic,52.6%,39.4%,3.7%,29.3%,51.0%,3/14,2:52
9‑Nov‑2008,Hard,RR,Juan Martin Del Potro,7-5 6-3,1.22,11.1%,5.6%,54.2%,74.4%,51.5%,Novak Djokovic,54.3%,43.9%,3.0%,41.5%,48.0%,4/11,1:57
9‑Nov‑2008,Hard,RR,Nikolay Davydenko,7-6(3) 0-6 7-5,0.91,6.8%,3.4%,61.4%,75.9%,50.0%,Novak Djokovic,48.6%,31.0%,9.2%,18.8%,46.2%,2/4,1:43
9‑Nov‑2008,Hard,RR,Jo Wilfried Tsonga,1-6 7-5 6-1,0.87,3.9%,2.6%,64.5%,69.4%,48.1%,Novak Djokovic,47.1%,33.3%,8.6%,20.0%,54.8%,2/6,1:39
26‑Oct‑2008,Hard,R16,Jo Wilfried Tsonga,6-4 1-6 6-3,0.96,6.3%,1.3%,65.8%,63.5%,70.4%,Novak Djokovic,49.1%,32.9%,6.1%,19.6%,50.0%,2/9,1:54
26‑Oct‑2008,Hard,R32,Dmitry Tursunov,6-2 4-3 RET,1.61,20.5%,2.6%,66.7%,80.8%,53.8%,Novak Djokovic,57.8%,45.5%,0.0%,42.3%,50.0%,3/7,0:54
12‑Oct‑2008,Hard,R16,Ivo Karlovic,7-6(4) 7-6(5),1.2,11.3%,0.0%,66.2%,83.0%,70.8%,Novak Djokovic,50.0%,25.3%,24.1%,11.1%,51.7%,0/3,1:42
12‑Oct‑2008,Hard,R32,Victor Hanescu,6-7(8) 7-6(6) 3-1 RET,1.21,11.1%,2.2%,64.4%,75.9%,68.8%,Novak Djokovic,51.9%,32.3%,7.1%,24.7%,53.8%,2/4,2:20
22‑Sep‑2008,Hard,F,Jo Wilfried Tsonga,7-6(4) 6-4,0.88,4.2%,1.4%,62.0%,70.5%,51.9%,Novak Djokovic,47.9%,32.4%,11.3%,22.0%,46.7%,1/6,1:41
22‑Sep‑2008,Hard,SF,Tomas Berdych,7-5 6-1,1.37,9.4%,3.1%,65.6%,73.8%,59.1%,Novak Djokovic,57.5%,42.9%,2.0%,30.8%,56.5%,3/3,1:21
22‑Sep‑2008,Hard,QF,Robin Soderling,6-4 7-5,1.22,13.2%,0.0%,70.6%,75.0%,55.0%,Novak Djokovic,53.3%,37.7%,17.4%,21.7%,69.6%,3/9,1:28
22‑Sep‑2008,Hard,R16,Simon Stadler,6-1 6-3,1.8,9.8%,2.0%,58.8%,63.3%,76.2%,Novak Djokovic,62.3%,56.4%,1.8%,53.2%,75.0%,5/9,1:06
25‑Aug‑2008,Hard,SF,Roger Federer,6-3 5-7 7-5 6-2,0.78,4.8%,4.0%,64.5%,71.3%,45.5%,Novak Djokovic,45.8%,29.6%,16.0%,23.8%,40.0%,2/4,2:44
25‑Aug‑2008,Hard,QF,Andy Roddick,6-2 6-3 3-6 7-6(5),1.29,13.9%,1.9%,64.8%,71.4%,71.1%,Novak Djokovic,53.6%,37.1%,12.1%,30.0%,52.8%,5/5,2:34
25‑Aug‑2008,Hard,R16,Tommy Robredo,4-6 6-2 6-3 5-7 6-3,1.19,7.9%,2.9%,65.0%,74.7%,53.1%,Novak Djokovic,52.6%,39.2%,5.2%,34.3%,49.0%,6/13,3:43
25‑Aug‑2008,Hard,R32,Marin Cilic,6-7(7) 7-5 6-4 7-6(0),1.21,5.4%,2.0%,69.8%,71.2%,57.8%,Novak Djokovic,52.9%,39.8%,12.4%,19.8%,60.0%,6/13,3:52
25‑Aug‑2008,Hard,R64,Robert Kendrick,7-6(8) 6-4 6-4,1.21,10.4%,0.0%,72.6%,72.7%,69.0%,Novak Djokovic,53.4%,34.3%,18.6%,20.7%,52.3%,2/3,2:06
25‑Aug‑2008,Hard,R128,Arnaud Clement,6-3 6-3 6-4,1.52,17.6%,2.4%,64.7%,80.0%,63.3%,Novak Djokovic,56.8%,39.3%,7.1%,35.4%,44.4%,4/7,2:00
11‑Aug‑2008,Hard,SF,Rafael Nadal,6-4 1-6 6-4,1.02,10.6%,5.9%,63.5%,72.2%,48.4%,Novak Djokovic,51.2%,37.3%,4.0%,38.9%,33.3%,3/4,2:11
11‑Aug‑2008,Hard,QF,Gael Monfils,4-6 6-1 6-4,1.14,4.0%,1.0%,69.0%,69.6%,48.4%,Novak Djokovic,53.6%,42.2%,7.2%,34.8%,51.4%,4/6,2:22
